"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
1,"*C(C(O)C1(O))C(CO)OC1O*",7.49,3.46,0.94,2.85,1.63,-5.48,NA,1.31,6.97,0.88,-0.63,NA,NA,397,NA,22.78,NA,NA,NA,NA,NA,NA
2,"*CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)*",4.41,3.46,0.07,2.64,1.77,-5.9,NA,1.03,4.78,1.45,0.35,NA,516.2,394,NA,18.67,NA,NA,96.09,16600,126,99.2
3,"*CC(C)CC(C)CC(C)*",7.43,2.8,0.03,2.59,1.65,-5.14,NA,0.87,6.78,0.43,0.13,NA,460.7,283,NA,16.4,NA,NA,36.03,NA,89.5,48.8
4,"*C(F)C(F)(F)*",7.29,3.22,0.56,2.5,1.58,-5.12,NA,1.96,8.58,1.52,0.61,NA,NA,279,NA,14.73,NA,NA,NA,NA,NA,NA
5,"*C(S1)=CC=C1C(S2)=CC=C2*",0.9,7.88,NA,NA,2.82,-6.18,NA,1.46,4.58,2.93,0.06,NA,NA,403,NA,19.55,NA,NA,NA,NA,NA,NA
6,"*C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4*",2.47,5.55,0.29,4.48,2.27,-6.81,NA,1.42,5.66,3.01,-0.82,NA,NA,447,NA,25.02,NA,NA,NA,NA,NA,NA
7,"*C(C(F)(F)(F))OCC(C(F)(F)(F))OC*",7.57,3.28,0.5,2.2,1.6,-5.23,NA,1.56,8.04,0.6,0.18,NA,NA,257,NA,15.45,NA,NA,NA,NA,NA,NA
8,"*CCCCCOC(=O)CCCCCOC(=O)*",6.63,3.16,0.42,2.7,1.67,-5.44,NA,1.11,7.38,0.68,-0.5,NA,NA,211,NA,18.88,NA,NA,104.06,NA,207,102.3
9,"*CCC(C(F)(F)(F))(C(F)(F)(F))OCCC(C(F)(F)(F))(C(F)(F)(F))O*",8.44,3.14,0.58,2.47,1.59,-5.19,NA,1.63,8.39,0.52,0.32,NA,NA,307,NA,15.12,NA,NA,NA,NA,NA,NA
11,"*CCCCC(=O)OCCOC(=O)*",6.68,3.31,0.5,2.75,1.68,-5.59,NA,1.22,7.68,0.85,-0.59,NA,329,227,NA,19.71,NA,NA,160.08,NA,NA,143
12,"*CCOCCO*",6.36,3.33,0.47,2.68,1.66,-5.21,NA,1.1,6.94,0.5,0.17,NA,342,207,NA,19.83,NA,NA,40.02,2000,91,39
13,"*CCOC(=O)CCCCCCC(=O)O*",6.73,3.22,0.41,2.75,1.67,-5.5,NA,1.16,7.66,0.75,-0.55,NA,NA,234,NA,19.22,NA,NA,NA,NA,NA,NA
14,"*CC(=O)OCC(=O)O*",6.26,3.8,1.2,2.79,1.72,-5.99,NA,1.48,8.28,1.55,-0.76,NA,506,315,NA,20.44,NA,NA,56.02,NA,112,38.3
15,"*COCO*",8.38,3.74,1.02,2.7,1.67,-5.3,NA,1.26,7.52,0.96,0.11,NA,457.2,215,NA,21.15,NA,NA,28.01,2550,61,24.5
17,"*C(C=C1)=CC=C1SC(C=C2)=CC=C2S*",2.89,4.39,0.23,3.92,2,-5.88,490,1.28,6.03,2.14,-0.49,0,560,387,NA,20.05,3,NA,NA,NA,NA,NA
18,"*CCCCCS*",5.63,3.03,NA,NA,1.72,-5.03,NA,1.02,5.88,0.69,-0.27,NA,NA,202,NA,18.82,NA,NA,NA,NA,NA,NA
19,"*CC(C=C1)=CC=C1C*",4.07,3.3,0.09,3.87,1.77,-5.89,NA,1.03,5.91,1.17,0.64,NA,700,343,NA,19.19,NA,NA,96.09,NA,135,99.2
20,"*CCC(F)(F)C(F)(F)*",9.02,3.11,0.6,2.49,1.61,-5.2,NA,1.69,8.9,0.79,0.29,NA,NA,327,NA,13.2,NA,NA,NA,NA,NA,NA
21,"*C(C=C1)=CC=C1C(=O)OCCCCOC(=O)*",4.45,3.8,0.49,3.1,1.8,-5.95,NA,1.25,7.27,2.13,-0.67,NA,426,308,NA,21.31,NA,NA,208.13,NA,NA,174
22,"*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)*",6.87,3.08,0.39,2.66,1.65,-5.4,NA,1.1,7.27,0.55,-0.51,NA,NA,252,NA,18.7,NA,NA,NA,NA,NA,NA
23,"*CC(F)CC(F)*",8.2,3.09,0.71,2.66,1.64,-5.18,NA,1.3,7.57,0.84,0.09,NA,503.2,295,NA,15.9,NA,NA,43.02,NA,59.5,34.4
25,"*CC(F)(F)CC(F)(F)*",8.09,3.11,0.77,2.6,1.61,-5.2,NA,1.69,8.11,1.08,0.12,NA,483.2,249,NA,17.42,NA,NA,62.02,2400,83,38.2
26,"*CC(C)CC(C)CC(C)CC(C)*",7.42,2.8,0.04,2.59,1.65,-5.14,NA,0.87,6.78,0.43,0.13,NA,460.7,283,NA,16.32,NA,NA,36.03,NA,89.5,48.8
27,"*C(C=C1)=CC=C1C(=O)OCCOC(=O)*",4.08,4.08,0.56,3.27,1.84,-6.16,NA,1.34,7.3,2.58,-0.74,NA,NA,331,NA,22.09,NA,NA,NA,NA,NA,NA
29,"*CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)*",4.81,3.38,0.26,2.93,1.7,-5.99,NA,1.1,6.03,1.37,-0.41,NA,488,383,NA,20.22,NA,NA,98.08,NA,NA,NA
31,"*CC(=O)NCC(=O)N*",5.26,4.07,1,3.01,1.71,-5.9,NA,1.36,7.08,1.19,-0.28,NA,NA,382,NA,28.45,NA,NA,NA,NA,NA,NA
32,"*NC(=O)C(=C1)C=CC=C1NC(=O)C(=C2)C=CC=C2*",3.07,4.83,0.58,3.85,1.99,-6.39,NA,1.37,6.12,2.29,-0.5,NA,NA,553,NA,25.99,NA,NA,NA,NA,NA,NA
33,"*C(=CC=C1)N=C1C(=CC=C2)N=C2*",2.71,3.98,0.37,3.98,1.92,-6.6,NA,1.24,6.03,2.21,-0.4,NA,NA,401,NA,23.97,NA,NA,NA,NA,NA,NA
34,"*C(=NC1=C2)OC1=CC(O3)=C2N=C3C(C=C4)=CC=C4*",2.53,5.55,0.26,5.42,2.27,-6.82,NA,1.42,5.66,3.01,-0.53,NA,NA,455,NA,25.02,NA,NA,NA,NA,NA,NA
35,"*C(S1)=CC=C1*",0.95,7.82,NA,NA,2.81,-6.17,NA,1.45,4.59,2.91,0.07,NA,NA,404,NA,19.56,NA,NA,NA,NA,NA,NA
36,"*C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)*",1.02,7.7,NA,NA,2.69,-6.13,NA,1.58,5.38,3.73,0.12,NA,NA,415,NA,19.21,NA,NA,NA,NA,NA,NA
37,"*C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O*",1.94,6.32,0.43,5.17,2.36,-6.13,NA,1.47,5,2.29,0.08,NA,NA,425,NA,19.81,NA,NA,NA,NA,NA,NA
38,"*C(S1)=CC=C1C(S2)=CC=C2OC(=S)*",1.81,6.51,0.9,4.98,2.33,-6.07,NA,1.62,5.83,3.24,0.16,NA,NA,434,NA,19.81,NA,NA,NA,NA,NA,NA
39,"*C(S1)=CC=C1C(=S)C(S2)=CC=C2O*",2.25,5.46,0.66,4.23,2.16,-6.04,NA,1.62,6.02,3.28,0.15,NA,NA,429,NA,19.55,NA,NA,NA,NA,NA,NA
40,"*C(S1)=CC=C1C(=S)OC(=S)*",1.9,6.2,0.95,5.28,2.29,-5.96,NA,1.72,6.29,4.02,0.29,NA,NA,386,NA,20.14,NA,NA,NA,NA,NA,NA
41,"*C(S1)=CC=C1OC(S2)=CC=C2O*",3.95,3.93,0.42,3.49,1.85,-6.03,NA,1.49,5.3,1.26,0.1,NA,NA,384,NA,20.25,NA,NA,NA,NA,NA,NA
42,"*C(S1)=CC=C1OC(=S)O*",3.09,4.4,0.7,3.79,1.89,-5.94,NA,1.69,6.1,2.36,0.26,NA,NA,416,NA,19.69,NA,NA,NA,NA,NA,NA
43,"*C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4*",1.32,6.85,0.17,8.67,2.64,-6.24,NA,1.33,4.73,2.74,-0.02,NA,NA,436,NA,20.24,NA,NA,NA,NA,NA,NA
44,"*C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O*",2.15,5.43,0.46,4.71,2.2,-6.22,NA,1.33,5.17,2.11,-0.02,NA,NA,424,NA,20.62,NA,NA,NA,NA,NA,NA
45,"*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4*",1.73,5.92,0.12,4.13,2.43,-6.29,NA,1.23,4.96,2.55,-0.09,NA,NA,452,NA,20.81,NA,NA,NA,NA,NA,NA
46,"*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)*",1.73,5.86,0.49,5.38,2.37,-6.27,NA,1.3,5.61,3.21,-0.08,NA,NA,448,NA,21.01,NA,NA,NA,NA,NA,NA
47,"*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O*",2.32,4.7,0.38,4.52,2.06,-6.3,NA,1.22,5.38,1.91,-0.1,NA,NA,408,NA,21.14,NA,NA,NA,NA,NA,NA
48,"*C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3*",1.32,6.81,0.71,8.38,2.57,-6.21,NA,1.43,5.54,3.5,0.01,NA,NA,447,NA,20.22,NA,NA,NA,NA,NA,NA
49,"*C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3*",2.4,5.43,0.44,4.78,2.22,-6.21,NA,1.32,5.13,2.13,-0.02,NA,NA,425,NA,20.62,NA,NA,NA,NA,NA,NA
50,"*C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)*",2.09,5.63,0.84,4.82,2.22,-6.18,NA,1.44,5.86,3.04,0.02,NA,NA,434,NA,20.66,NA,NA,NA,NA,NA,NA
51,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4*",1.72,5.92,0.13,7,2.43,-6.29,NA,1.23,4.96,2.55,-0.09,NA,NA,452,NA,20.81,NA,NA,NA,NA,NA,NA
52,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)*",1.71,5.89,0.39,6.26,2.38,-6.27,NA,1.3,5.6,3.22,-0.08,NA,NA,447,NA,21.01,NA,NA,NA,NA,NA,NA
53,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O*",2.69,4.7,0.37,4.64,2.07,-6.29,NA,1.22,5.27,1.93,-0.11,NA,NA,435,NA,21.18,NA,NA,NA,NA,NA,NA
54,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4*",2.11,5.15,0.11,5.28,2.25,-6.34,NA,1.17,5.16,2.35,-0.15,NA,NA,453,NA,21.19,NA,NA,NA,NA,NA,NA
55,"*C(C=C1)=CC=C1*",2.47,4.55,0.08,4.4,2.12,-6.37,NA,1.12,5.31,2.16,-0.21,NA,NA,445,NA,21.41,NA,NA,72.06,NA,84.5,68.6
56,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)*",2.1,5.1,0.25,4.32,2.2,-6.32,NA,1.2,5.58,2.92,-0.15,NA,NA,434,NA,21.6,NA,NA,NA,NA,NA,NA
57,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O*",2.97,4.16,0.25,3.62,1.98,-6.35,NA,1.16,5.44,1.73,-0.18,NA,NA,439,NA,21.42,NA,NA,NA,NA,NA,NA
58,"*C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O*",2.37,4.82,0.39,4.18,2.06,-6.28,NA,1.28,5.84,2.72,-0.1,NA,NA,426,NA,21.72,NA,NA,NA,NA,NA,NA
59,"*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3*",1.33,6.76,0.69,7.71,2.55,-6.21,NA,1.43,5.57,3.5,0.01,NA,NA,445,NA,20.22,NA,NA,NA,NA,NA,NA
60,"*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)*",1.32,6.19,0.55,6.23,2.33,-6.15,NA,1.56,5.85,4,0.05,NA,NA,429,NA,19.59,NA,NA,NA,NA,NA,NA
61,"*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O*",2.36,4.94,0.53,4.02,2.07,-6.17,NA,1.43,6.01,3.04,0.01,NA,NA,431,NA,20.73,NA,NA,NA,NA,NA,NA
62,"*C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)*",1.59,5.49,0.21,3.59,2.19,-6.22,NA,1.39,5.62,3.69,-0.06,NA,NA,399,NA,20.73,NA,NA,NA,NA,NA,NA
63,"*C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O*",2.54,4.48,0.6,4.35,2,-6.27,NA,1.28,5.97,2.69,-0.1,NA,NA,401,NA,21.61,NA,NA,NA,NA,NA,NA
64,"*C(C=C1)=CC=C1C(=S)OC(=S)*",2.08,5.58,0.86,4.66,2.16,-6.12,NA,1.61,6.53,3.95,0.07,NA,NA,427,NA,20.12,NA,NA,NA,NA,NA,NA
